S	E	I	R
178	3	29	108
178	3	29	108
178	3	29	108
178	3	29	108
178	3	29	108
177	4	29	108
177	4	29	108
177	3	29	109
177	3	29	109
177	3	29	109
176	4	29	109
176	4	29	109
176	4	29	109
176	4	29	109
176	2	31	109
175	3	31	109
174	4	31	109
174	4	31	109
174	4	31	109
174	4	30	110
173	5	30	110
173	5	30	110
173	4	31	110
173	4	31	110
173	4	31	110
173	4	31	110
173	4	31	110
173	4	31	110
173	4	31	110
173	4	31	110
173	4	31	110
173	3	32	110
170	6	32	110
170	6	32	110
168	8	32	110
168	8	32	110
168	7	32	111
168	7	32	111
168	7	32	111
168	7	30	113
168	5	32	113
166	7	32	113
166	7	32	113
166	7	32	113
166	7	32	113
166	7	32	113
166	7	31	114
165	7	31	115
165	7	31	115
164	8	31	115
164	8	30	116
164	8	30	116
164	8	30	116
164	7	31	116
164	6	32	116
162	8	32	116
162	8	32	116
162	8	32	116
162	7	33	116
162	7	33	116
162	7	33	116
162	6	34	116
162	5	35	116
161	6	35	116
161	6	35	116
160	7	35	116
160	7	35	116
160	7	35	116
160	7	35	116
160	7	35	116
158	8	36	116
158	8	36	116
158	7	37	116
158	7	37	116
158	7	37	116
158	7	36	117
158	7	36	117
158	5	37	118
158	5	36	119
158	4	37	119
157	5	37	119
157	5	37	119
157	5	37	119
157	4	38	119
157	4	38	119
157	4	38	119
157	4	38	119
157	4	37	120
157	4	37	120
156	4	38	120
155	5	38	120
155	5	38	120
155	5	38	120
155	4	39	120
154	4	40	120
153	4	40	121
152	3	42	121
152	2	43	121
151	2	44	121
151	2	44	121
151	2	44	121
151	2	44	121
150	3	44	121
150	3	44	121
149	4	44	121
149	4	43	122
149	4	43	122
149	4	43	122
148	5	42	123
148	4	43	123
148	4	43	123
148	4	42	124
148	4	42	124
148	4	42	124
147	4	42	125
147	3	43	125
147	3	43	125
146	4	42	126
145	5	42	126
145	5	42	126
145	5	42	126
145	5	42	126
145	3	44	126
144	4	43	127
144	4	43	127
144	4	41	129
144	4	41	129
144	2	42	130
144	2	42	130
144	2	42	130
144	2	42	130
144	2	40	132
144	2	40	132
144	1	41	132
144	1	41	132
144	0	42	132
144	0	42	132
144	0	42	132
143	1	42	132
143	1	42	132
143	0	43	132
143	0	42	133
143	0	42	133
143	0	42	133
143	0	42	133
143	0	41	134
143	0	41	134
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
143	0	40	135
142	1	40	135
142	1	40	135
142	1	40	135
142	1	40	135
142	1	39	136
142	1	39	136
142	1	39	136
142	0	40	136
142	0	40	136
142	0	40	136
142	0	40	136
142	0	40	136
142	0	38	138
142	0	38	138
142	0	37	139
142	0	37	139
142	0	37	139
142	0	36	140
142	0	35	141
142	0	35	141
142	0	35	141
142	0	35	141
142	0	34	142
142	0	34	142
142	0	33	143
142	0	33	143
142	0	33	143
142	0	33	143
142	0	33	143
142	0	33	143
141	1	33	143
141	1	33	143
141	1	33	143
141	1	33	143
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	32	144
141	1	31	145
141	1	31	145
141	1	31	145
141	1	31	145
140	2	30	146
140	1	31	146
140	0	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	1	32	146
139	0	33	146
138	1	33	146
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	31	148
138	1	30	149
138	1	30	149
138	1	30	149
138	1	30	149
138	1	29	150
138	1	29	150
138	1	29	150
138	1	29	150
138	1	29	150
138	1	28	151
138	1	28	151
138	1	28	151
138	1	27	152
138	1	27	152
138	1	27	152
138	1	27	152
138	1	27	152
138	1	27	152
138	1	27	152
138	0	28	152
138	0	28	152
138	0	28	152
138	0	28	152
138	0	28	152
138	0	27	153
138	0	27	153
138	0	27	153
138	0	27	153
138	0	27	153
138	0	27	153
138	0	26	154
138	0	26	154
138	0	26	154
138	0	26	154
138	0	26	154
138	0	26	154
138	0	26	154
