S	E	I	R
129	1	21	8
129	1	21	8
129	1	21	8
129	0	21	9
129	0	21	9
129	0	21	9
129	0	21	9
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	20	10
129	0	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	1	19	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
128	0	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	1	19	12
127	0	20	12
127	0	20	12
127	0	20	12
127	0	20	12
127	0	20	12
127	0	20	12
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
128	0	20	11
